Artist,Countries
442,gb
612,no
831,hk|my|sg|tw
929,tw
1814,nz
1987,se
6150,no
*NSYNC,global|at|au|be|ca|ch|cz|de|dk|es|gb|gr|hk|hu|id|ie|it|jp|lv|my|nl|nz|ph|pt|se|sg|tw|us
187 Strassenbande,global|at|ch|de
2 Chainz,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|ie|is|lv|my|nl|no|nz|pl|pt|se|sg|tw|us
21 Savage,global|at|au|be|br|ca|ch|cr|cz|de|dk|do|es|fi|fr|gb|gr|hk|hn|hu|id|ie|is|it|jp|lt|lv|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|tr|tw|us
22 Savage,global|ca|us
24kGoldn,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hu|ie|is|lv|nl|no|nz|pl|pt|se|sg|us
5 Seconds of Summer,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
6LACK,global|au|be|ca|ch|cz|dk|fi|gb|gr|hu|ie|is|lv|nl|no|nz|pt|se|us
6ix9ine,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
88-Keys,global|at|au|ca|ch|cz|de|dk|gb|hu|ie|lv|nl|no|nz|pl|tw|us
A Boogie Wit da Hoodie,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hk|hu|id|ie|is|it|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
A R I Z O N A,global|at|au|be|ca|ch|cz|de|dk|es|fr|gb|gr|hk|hu|id|ie|it|jp|lt|lv|mx|my|nl|no|nz|ph|pl|pt|se|sg|tr|tw|us
A$AP Ferg,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|id|ie|is|jp|lv|my|nl|no|nz|pa|ph|pl|pt|se|sg|tr|tw|us
A$AP Mob,global|au|ca|ch|cz|nz|pl|us
A$AP Rocky,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hk|hu|ie|is|it|jp|lv|my|nl|no|nz|pl|pt|se|sg|tr|tw|us
AC/DC,global|at|au|be|br|ca|ch|co|cr|cz|de|dk|ec|es|fi|fr|gb|hu|ie|it|mx|nl|no|nz|pl|pt|se|us
AJR,global|ar|at|au|be|br|ca|ch|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|tr|tw|us|uy
AK AUSSERKONTROLLE,global
ALMA,global|at|be|ca|ch|cz|de|dk|fi|gb|gr|hu|ie|it|lt|my|nl|no|pl|se|sg|tr|tw
Aaron Carter,global|at|au|be|ca|ch|cz|dk|es|fi|fr|gr|hk|hu|id|ie|it|jp|lt|lv|my|nl|no|nz|ph|pl|pt|se|sg|tr|tw|us
Aaron Smith,global|ar|bo|br|cl|co|cr|cz|do|ec|gt|hn|hu|lv|mx|pa|py|sv|tr
Ab-Soul,global|au|be|ca|ch|dk|fr|gb|gr|hu|ie|is|lv|nl|no|nz|pl|pt|se|us
Abraham Mateo,global|ar|bo|cl|co|cr|do|ec|es|gt|hn|mx|pa|py|sv|uy
Adele,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|tr|tw|us|uy
Aitana,global|ar|bo|co|do|ec|es|gt|pa|py|uy
Alan Walker,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Aldair Playboy,global|br|pt|py
Alec Benjamin,global|ar|at|au|be|ca|ch|cz|de|dk|es|fi|fr|gb|gr|hk|hu|id|ie|is|it|jp|lv|my|nl|no|nz|pa|ph|pl|pt|se|sg|tr|tw|us
Alejandro Fernández,global
Alessia Cara,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Alesso,global|ar|at|au|be|bo|br|ca|ch|co|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hu|id|ie|is|it|jp|lv|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|tw|us|uy
Alex Rose,global|ar|bo|cl|co|cr|do|ec|es|gt|hn|mx|pa|py|sv|uy
Alex Sensation,global|ar|bo|br|ch|cl|co|cr|do|ec|es|gt|hn|it|mx|pa|pt|py|sv|uy
Ali Gatie,global|at|au|be|bo|br|ca|ch|cr|cz|de|dk|ec|es|fi|gb|gr|hk|hn|hu|id|ie|is|it|jp|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
Alicia Keys,global|at|au|be|ca|ch|de|dk|fr|gb|gr|ie|it|jp|my|nl|no|ph|pl|se|sg|tw|us
Alok,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Alvaro Soler,global|ar|at|be|bo|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gr|gt|hk|hn|hu|it|mx|nl|no|pa|pl|pt|py|se|sv|tw|uy
Amenazzy,global|ar|bo|cl|co|cr|do|ec|es|gt|hn|mx|pa|py|sv|uy
Aminé,global|at|au|be|ca|ch|cz|de|dk|es|fi|gb|gr|hk|hu|id|ie|is|it|jp|lv|my|nl|no|nz|ph|pl|pt|se|sg|tr|tw|us
Anderson .Paak,global|au|be|ca|cz|dk|gb|gr|hk|hu|ie|is|jp|lv|nl|no|nz|pl|pt|se|tw|us
Andy Grammer,global|at|au|ca|cz|de|dk|gb|gr|hk|hu|id|ie|it|my|nl|no|nz|ph|pl|se|sg|tw|us
Andy Williams,global|at|au|be|bo|ca|ch|cl|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lv|mx|my|nl|no|nz|pa|ph|pl|pt|se|sg|sv|tw|us
Anita Kerr Singers,global|at|be|ca|ch|cz|de|dk|gb|gr|hu|ie|is|lv|my|nl|no|pl|se|sg|us
Anitta,global|ar|at|be|bo|br|ca|ch|cl|co|cr|cz|de|do|ec|es|fi|gr|gt|hk|hn|hu|id|ie|is|it|jp|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Anne-Marie,global|at|au|be|br|ca|ch|co|cz|de|dk|es|fi|fr|gb|gr|hk|hu|id|ie|is|it|jp|lv|my|nl|no|nz|ph|pl|pt|se|sg|tr|tw|us|uy
Ant Saunders,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|id|ie|is|lv|my|nl|no|nz|ph|pt|se|sg|tw|us
Anuel AA,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|ie|it|jp|mx|my|nl|no|pa|pl|pt|py|se|sg|sv|tw|us|uy
Apache 207,global|at|ch|de|hk
Arcangel,global|ar|bo|cl|co|cr|do|ec|es|gt|hn|mx|pa|py|sv|uy
Arctic Monkeys,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lv|mx|my|nl|no|nz|pa|pl|pt|py|se|sg|sv|tr|tw|us|uy
Aretha Franklin,global|ar|at|au|be|br|ca|ch|cl|co|cz|de|dk|es|fi|fr|gb|gr|hk|hu|ie|is|jp|mx|my|nl|no|nz|pl|pt|se|sg|tw|us|uy
Ariana Grande,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Arizona Zervas,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Armin van Buuren,global|at|be|ch|cz|de|dk|fi|fr|hu|nl|no|pl|pt|se|tw
Ashe,global|at|au|be|bo|ca|ch|cr|cz|de|dk|do|ec|fi|fr|gb|gr|hk|hn|hu|ie|is|it|lv|my|nl|no|nz|pa|pl|pt|se|sg|tr|us
Ashley O,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|id|ie|is|jp|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
Astrid S,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|id|ie|it|lt|my|nl|no|nz|ph|pl|pt|se|sg|tw
Audioslave,global|ar|au|bo|br|ca|cl|co|cr|cz|ec|fi|gb|gt|hn|hu|ie|is|it|mx|nz|pa|pl|pt|py|se|sv|tr|us|uy
Austyn Johnson,global|au|gb|hk|id|ie|jp|mx|my|nz|ph|sg|tw|us
Ava Max,global|at|au|be|br|ca|ch|co|cz|de|dk|do|es|fi|fr|gb|gr|gt|hk|hu|id|ie|is|it|jp|lv|mx|my|nl|no|nz|pa|ph|pl|pt|se|sg|sv|tr|tw|us|uy
Aventura,global|ar|bo|cl|co|cr|do|ec|es|gt|hn|mx|pa|py|sv|us|uy
Avicii,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Avril Lavigne,global|at|au|be|br|ca|ch|cr|cz|de|dk|gb|gr|hk|hu|id|ie|jp|lv|my|no|ph|pl|pt|se|sg|tw|us
Axwell /\ Ingrosso,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Ayo & Teo,global|au|ca|ch|de|dk|fi|gb|is|nl|nz|pl|us
Azet,global|at|ch|de
BENEE,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tw|us|uy
BLACKPINK,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
BRADO,global|at|ch|de|tr
BROCKHAMPTON,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|id|ie|is|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
BTS,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Backstreet Boys,global|at|au|be|bo|ca|ch|cl|cr|cz|de|dk|es|fi|gb|gr|hk|hu|id|ie|it|jp|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us|uy
