Artist,Countries
*NSYNC,global|be|ca
187 Strassenbande,global
2 Chainz,global|be|ca
21 Savage,global|be|ca|fr
22 Savage,global|ca
24kGoldn,global|be|ca
5 Seconds of Summer,global|be|ca|fr
6LACK,global|be|ca
6ix9ine,global|be|ca|fr
88-Keys,global|ca
A Boogie Wit da Hoodie,global|be|ca|fr
A R I Z O N A,global|be|ca|fr
A$AP Ferg,global|be|ca
A$AP Mob,global|ca
A$AP Rocky,global|be|ca|fr
AC/DC,global|be|ca|fr
AJR,global|be|ca|fr
AK AUSSERKONTROLLE,global
ALMA,global|be|ca
Aaron Carter,global|be|ca|fr
Aaron Smith,global
Ab-Soul,global|be|ca|fr
Abraham Mateo,global
Adele,global|be|ca|fr
Aitana,global
Alan Walker,global|be|ca|fr
Aldair Playboy,global
Alec Benjamin,global|be|ca|fr
Alejandro Fernández,global
Alessia Cara,global|be|ca|fr
Alesso,global|be|ca|fr
Alex Rose,global
Alex Sensation,global
Ali Gatie,global|be|ca
Alicia Keys,global|be|ca|fr
Alok,global|be|ca|fr
Alvaro Soler,global|be|fr
Amenazzy,global
Aminé,global|be|ca
Anderson .Paak,global|be|ca
Andy Grammer,global|ca
Andy Williams,global|be|ca|fr
Anita Kerr Singers,global|be|ca
Anitta,global|be|ca
Anne-Marie,global|be|ca|fr
Ant Saunders,global|be|ca
Anuel AA,global|be|ca|fr
Apache 207,global
Arcangel,global
Arctic Monkeys,global|be|ca|fr
Aretha Franklin,global|be|ca|fr
Ariana Grande,global|be|ca|fr
Arizona Zervas,global|be|ca|fr
Armin van Buuren,global|be|fr
Ashe,global|be|ca|fr
Ashley O,global|be|ca
Astrid S,global|be|ca
Audioslave,global|ca
Austyn Johnson,global
Ava Max,global|be|ca|fr
Aventura,global
Avicii,global|be|ca|fr
Avril Lavigne,global|be|ca
Axwell /\ Ingrosso,global|be|ca|fr
Ayo and Teo,global|ca
Azet,global
BENEE,global|be|ca|fr
BLACKPINK,global|be|ca|fr
BRADO,global
BROCKHAMPTON,global|be|ca
BTS,global|be|ca|fr
Backstreet Boys,global|be|ca
Bad Bunny,global|be|ca|fr
Baddiel Skinner and Lightning Seeds,global
Bag Raiders,global|be|fr
Band Aid,global|be|ca|fr
Band Aid 30,global
Banx and Ranx,global|be|ca|fr
Bas,global|ca
Bass Santana,global|ca
Bastille,global|be|fr
Bausa,global
Bazzi,global|be|ca|fr
Bebe Rexha,global|be|ca|fr
Becky G,global|be|ca|fr
Bee Gees,global|be|ca|fr
Benjamin Ingrosso,global|be|fr
Beyoncé,global|be|ca|fr
Big Sean,global|be|ca|fr
Big Shaq,global|be|ca|fr
Bill Withers,global|be|fr
Billie Eilish,global|be|ca|fr
Bing Crosby,global|be|ca|fr
Bizarrap,global
Black Eyed Peas,global|be|ca|fr
Blanche,global|be
Blanco Brown,global|be|ca
BlocBoy JB,global|be|ca|fr
Blue Ivy,global|be|ca
Blue Öyster Cult,global|ca
Blueface,global|be|ca
Bobby "Boris" Pickett,global|ca
Bobby Helms,global|be|ca|fr
Boef,global|be
Bomba Estéreo,global
Bon Iver,global|be|ca
Boney M.,global|be|ca
Bonez MC,global
Bonnie Tyler,global
Booba,global|be|fr
Brenda Lee,global|be|ca|fr
Brent Faiyaz,global|ca
Brett Eldredge,global|be|ca|fr
Bring Me The Horizon,global|be
Britney Spears,global|be|ca|fr
Bruce Springsteen,global|be|ca
Bruno Mars,global|be|ca|fr
Bryan Adams,global|be|ca|fr
Bryant Myers,global
Bryce Vine,global|be|ca
Bryson Tiller,global|be|ca
Brytiago,global
Burak Yeter,global|be|fr
Burl Ives,global|be|ca|fr
Bushido,global
C. Tangana,global
CHVRCHES,global|be
CNCO,global|be|ca|fr
Calboy,global|ca
Cali Y El Dandee,global
Calum Scott,global|be|ca
Calvin Harris,global|be|ca|fr
Camila Cabello,global|be|ca|fr
Camilo,global
Capital Bra,global
Capo Plaza,global
Cardi B,global|be|ca|fr
Carlos Vives,global
Carly Rae Jepsen,global|be|ca|fr
Carnage,global|be|ca
Carpenters,global|be|ca|fr
Cash Cash,global|be|ca
Cashmere Cat,global|be|ca
Cauty,global
Chance the Rapper,global|be|ca
Charli XCX,global|be|ca
Charlie Charles,global
Charlie Puth,global|be|ca|fr
Charly Black,global
Cheat Codes,global|be|ca|fr
Childish Gambino,global|be|ca|fr
Chino and Nacho,global
ChocQuibTown,global
Chris Brown,global|be|ca|fr
Chris Cornell,global|ca
Chris Jedi,global
Chris Rea,global|be|ca|fr
Christian Nodal,global
Christina Aguilera,global|be|ca|fr
Christina Perri,global|be|ca|fr
Chuck Berry,global|be|ca|fr
Clean Bandit,global|be|ca|fr
Cliff Richard,global
Coez,global
Coldplay,global|be|ca|fr
Conan Gray,global|ca
Cordae,global
Cosculluela,global
Craig David,global|be|ca
Céline Dion,global|be|ca|fr
DENNIS,global
DJ A1,global|ca
DJ Durel,global|ca
DJ Jazzy Jeff and The Fresh Prince,global|ca
DJ Jonathan,global
DJ Khaled,global|be|ca|fr
DJ Luian,global
DJ Snake,global|be|ca|fr
DNCE,global|be|ca|fr
DVBBS,global|be|ca
DaBaby,global|be|ca|fr
Daddy Yankee,global|be|ca|fr
Dadá Boladão,global
Dalex,global
Damso,global|be|fr
Dan + Shay,global|be|ca|fr
Daniel Caesar,global|ca
Danny Ocean,global|be|ca|fr
Dante Klein,global|be|ca
Dardan,global
Dark Polo Gang,global
Darlene Love,global|be|ca|fr
Daryl Hall and John Oates,global|be|ca|fr
David Guetta,global|be|ca|fr
Daya,global|be|ca
Dayvi,global|fr
De La Ghetto,global
Dean Lewis,global|be|ca|fr
Dean Martin,global|be|ca|fr
Demi Lovato,global|be|ca|fr
Dennis Lloyd,global|be|ca|fr
Dermot Kennedy,global|be|ca|fr
Desiigner,global|be|ca|fr
Destiny's Child,global|be|ca
Devin Dawson,global|be|ca
Dimitri Vegas and Like Mike,global|be|ca|fr
Diodato,global
Diplo,global|be|ca|fr
Dj Kass,global
Doja Cat,global|be|ca|fr
Dolly Parton,global|be|ca
Dominic Fike,global|be|ca|fr
Don Khuma,global
Don Omar,global|be
Don Patricio,global
Don Toliver,global|be|ca|fr
Donny Hathaway,global|be|ca
Drake,global|be|ca|fr
Dreamville,global|ca
DripReport,global|be|ca|fr
Dua Lipa,global|be|ca|fr
Duki,global
Duncan Laurence,global|be|fr
Dynoro,global|be|ca|fr
Dímelo Flow,global
EXO,global
Eagles,global|be|ca|fr
Earth Wind and Fire,global|be|ca|fr
Eartha Kitt,global|be|ca
Ed Sheeran,global|be|ca|fr
El Profesor,global|be|fr
Electric Light Orchestra,global
Eleni Foureira,global|be
Ella Fitzgerald,global|be|ca|fr
Ella Mai,global|be|ca
Ellie Goulding,global|be|ca|fr
Elton John,global|be|ca|fr
Elvis Presley,global|be|ca|fr
Eminem,global|be|ca|fr
Emma Stone,global|be|fr
Eno,global
Enrique Iglesias,global|be|ca|fr
Eurythmics,global|be|fr
FLETCHER,global|be|ca
FRENSHIP,global|be|ca|fr
Fall Out Boy,global|be|ca
Famous Dex,global|be|ca
Farid Bang,global|fr
Farruko,global
Fedez,global
Feid,global
Felipe Araújo,global
Felipe Original,global
Felix Jaehn,global|be|ca
Fero47,global
Fifth Harmony,global|be|ca|fr
Fleetwood Mac,global|be|ca
Flipp Dinero,global|be|ca
Flo Rida,global|be|ca
Florence + The Machine,global|be|ca
Florida Georgia Line,global|ca
Flume,global|be|ca|fr
Foo Fighters,global|be|ca
Foster The People,global|be|ca|fr
Frank Ocean,global|be|ca
Frank Sinatra,global|be|ca|fr
French Montana,global|be|ca|fr
Frenna,global|be
Future,global|be|ca|fr
G Herbo,global|ca
G-Eazy,global|be|ca|fr
GASHI,global|be|ca
Gabriel Diniz,global
Galantis,global|be|ca|fr
Gambi,global|be|fr
Gaullin,global|be|ca|fr
Gemitaiz,global
Gene Autry,global|be|ca
Gente De Zona,global
George Ezra,global|be|ca|fr
Gesaffelstein,global|be|ca|fr
Ghali,global
Glades,global|be|ca
Gorillaz,global|be|ca|fr
Gradur,global|be|fr
Green Day,global|ca
Grey,global|be|ca
Gryffin,global|be|ca|fr
Guayna,global
Guaynaa,global
Gucci Mane,global|be|ca|fr
Guilherme and Benuto,global
Gunna,global|be|ca
Gusttavo Lima,global
Guè Pequeno,global
Gwen Stefani,global|be|ca|fr
Gzuz,global
H.E.R.,global|ca
HAIM,global|be
HRVY,global|be
Hailee Steinfeld,global|be|ca|fr
Halsey,global|be|ca|fr
Hannah Kerr,global|be|ca
Harry Styles,global|be|ca|fr
Hayley Kiyoko,global|be
Hayley Williams,global
Hearts and Colors,global|be|ca|fr
Henrique and Juliano,global
Herve Pagez,global|fr
Hozier,global|be|ca|fr
Hugh Jackman,global
Humberto and Ronaldo,global
Huncho Jack,global|be|ca|fr
IAmChino,global
ILLENIUM,global|ca
ITZY,global
Idina Menzel,global|be|ca|fr
Iggy Azalea,global
Imagine Dragons,global|be|ca|fr
Internet Money,global|ca
Irama,global
Isaiah Firebrace,global
ItaloBrothers,global|be|ca
J Balvin,global|be|ca|fr
J Hus,global
J-AX,global
J. Cole,global|be|ca|fr
JACKBOYS,global|be|ca|fr
JAY-Z,global|be|ca|fr
JENNIE,global|be|ca
JP Cooper,global|be|ca|fr
JP Saxe,global|be|ca
Jack Harlow,global|be|ca
Jaden,global|ca
James Arthur,global|be|ca|fr
James Bay,global|be|ca|fr
James Blake,global|be|ca
James Blunt,global|be|ca|fr
James Hersey,global|be|ca|fr
Janelle Monáe,global|ca
Jason Derulo,global|be|ca|fr
Jason Mraz,global|be|ca|fr
Jax Jones,global|be|ca|fr
Jay Rock,global|be|ca|fr
Jennifer Lopez,global|be|ca|fr
Jeremy Zucker,global|ca
Jess Glynne,global|be|ca
Jesse and Joy,global
Jessie J,global|be|ca|fr
Jhay Cortez,global
Jhené Aiko,global|ca
Joakim Lundell,global
Joel Adams,global|be|ca|fr
Joey Bada$$,global|ca
Joey Montana,global
John Legend,global|be|ca|fr
John Lennon,global|be|ca|fr
John Lundvik,global|be
John Mayer,global|be|ca|fr
Johnny Mathis,global|be|ca
Joji,global|be|ca
Jojo Maronttinni,global
Joker Bra,global
Jon Bellion,global|be|ca
Jona Lewie,global
Jonas Blue,global|be|ca|fr
Jonas Brothers,global|be|ca|fr
Jorge and Mateus,global
Jorja Smith,global|be|ca|fr
José Feliciano,global|be|ca|fr
José José,global
Journey,global|be|ca
Joyner Lucas,global|be|ca
João Gustavo e Murilo,global
Juan Magán,global
Judy Garland,global|be|ca
Juice WRLD,global|be|ca|fr
Juju,global
Julia Michaels,global|be|ca|fr
Justin Bieber,global|be|ca|fr
Justin Hurwitz,global|be|fr
Justin Quiles,global
Justin Timberlake,global|be|ca|fr
K CAMP,global|be|ca
K/DA,global|be|ca
KALEO,global|be|fr
KAROL G,global|be|ca|fr
KC Rebell,global
KEiiNO,global
KHEA,global
KIDS SEE GHOSTS,global|be|ca|fr
KREAM,global|be|ca
KSI,global|be|ca
KYLE,global|be|ca|fr
Kacey Musgraves,global|be|ca
Kalazh44,global
Kamferdrops,global
Kane Brown,global|ca
Kanye West,global|be|ca|fr
Katy Perry,global|be|ca|fr
Kay Starr,global|be|ca
Keala Settle,global|be|ca|fr
Kehlani,global|be|ca
Kelly Clarkson,global|be|ca|fr
Kendrick Lamar,global|be|ca|fr
Kenny Man,global
Kenny Rogers,global|ca
Kesha,global|be|ca
Kevin Roldan,global
Khalid,global|be|ca|fr
Kiiara,global|be|ca
Kina,global|be|ca
King Princess,global|be|ca
KitschKrieg,global
Kodak Black,global|be|ca|fr
Kollegah,global
Kontra K,global
Kris Kross Amsterdam,global|be|ca|fr
Kungs,global|be|ca|fr
Kygo,global|be|ca|fr
Kylie Minogue,global|be|ca|fr
LANY,global|be|ca|fr
LX,global
La La Land Cast,global|be|ca|fr
Labrinth,global|ca
Lady Gaga,global|be|ca|fr
Lana Del Rey,global|be|ca|fr
Lauren Daigle,global|be|ca|fr
Lauren Jauregui,global
