Track Name,Countries
1,fi
7,au|cz
8,global|ar|at|au|be|ca|ch|cr|cz|de|dk|do|es|fi|gb|gr|hk|hn|hu|ie|is|it|lv|my|nl|no|nz|pa|pl|pt|se|sg|tr|tw|us|uy
9,gr|ie
10,fi
12,ca
13,at|de|id|ph
14,it|nl|se
15,fi|is
16,se
17,at|cz|gb|ie|it|no|se
18,hk|id|my|tw
20,it
21,hu|nz|pt
22,ar|bo|cl|co|ec|gb|ie|is|ph|py|se|uy
23,ar|bo|cl|co|do|ec|gt|hn|mx|pa|py|uy
24,no|tr
25,no
26,br|de|gb|ie|ph
29,be|tw
31,gr
35,pl
38,at|ch|de
41,ch
42,ca|gb|ie|nl|se
46,cz
47,at|ch|cl|de|do|pa
54,tw
63,de
66,global|au|be|ca|ch|cz|gb|gr|hu|is|no|nz|pt|us
68,it
70,fr
74,us
83,dk
93,ca|cz|us
94,pl
95,ie|se
99,at|fi
100,at|be|ch|de|nl|nz|se
109,de
110,global|at|ch|de
112,pl
113,global|be|ch|fr
123,ca|do|gb|hu|ie|is|no|se|tw|us
187,gb|ie
194,be|ch|fr
200,global|be|ca|ch|fr|is|pt|us
211,gr
212,tr
214,ph
221,gr
240,be|nl
242,tr
243,fr
247,de
250,fr
260,fr
280,pl
302,jp
360,cl|do
365,global|at|au|be|bo|br|ca|ch|co|cr|cz|de|dk|do|es|fi|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lv|mx|my|nl|no|nz|pa|ph|pl|pt|se|sg|sv|tr|tw|us
400,cz
404,pl|tr
430,it
471,at|ch|de
505,gr|ie|py
520,tw
554,at|ch|de
555,fi
666,cz
713,is|nl|us
723,es
724,se
743,ar|uy
747,at|de
777,gr|nl
808,at|ch|de|gb|jp
911,co|cr|ec|es|fr|gt|uy
925,id
929,us
999,se
1000,cz|hu|pt|tw
1016,es
1087,nl
1200,nl
1234,dk
1919,dk
1939,fi
1942,au|ca|ch|cz|dk|fi|gr|hu|no|nz|pt|us
1950,global|at|au|be|ca|ch|cz|de|dk|es|fi|gb|gr|hk|hu|id|ie|it|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
1955,au
1970,cz
1972,fi
1975,at|ch|de
1977,cl
1984,it
1986,fi
1989,se
1990,de|it
1991,at|ch|de
1993,de
1994,de|fr|se
1995,cz
1999,global|au|be|ca|cz|dk|fi|gb|gr|hk|hu|id|ie|jp|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
2002,global|at|au|be|br|ca|ch|co|cz|de|dk|es|fi|fr|gb|gr|hk|hu|id|ie|is|jp|lv|my|nl|no|nz|ph|pl|pt|se|sg|tr|tw|us|uy
2007,nl
2009,global|ca|nz|us
2012,no
2013,tr
2016,us
2017,dk|gr
2020,fi|gr
2021,us
2031,pl
2050,br
2084,hk
2310,gr
2375,tw
3005,au|gb|ie|us
4321,fi
4422,global|at|au|be|br|ca|ch|cr|cz|de|dk|do|es|fi|fr|gb|gr|hk|hu|ie|is|it|jp|lt|lv|my|nl|no|nz|pa|pl|pt|se|sg|tw|us
5200,global|au|ca|gr|is|lv|no|nz|us
6452,fr
9010,de
10419,at|ch|de
20539,de
30040,fr
71100,it
80486,tw
134340,global|ar|at|au|bo|br|ca|cl|co|cr|cz|do|ec|fi|gr|gt|hk|hn|hu|id|jp|my|nz|pa|ph|pl|pt|py|sg|sv|tr|tw|us|uy
444888,hu
773312,hk
5885522,is
!,global|au|be|ca|ch|cz|dk|fr|gb|hu|ie|is|lv|nl|no|nz|pl|us
