Artist,Track Name,Countries
*NSYNC,Merry Christmas Happy Holidays,global|at|au|be|ca|ch|cz|de|dk|es|gb|gr|hk|hu|ie|it|jp|lv|my|nl|nz|ph|pt|se|sg|tw|us
187 Strassenbande,High Life,global|at|ch|de
187 Strassenbande,Millionär,global|at|ch|de
187 Strassenbande,Mit den Jungz,global|at|ch|de
2 Chainz,4 AM,global|ca|ch|nz|us
2 Chainz,Bigger Than You (feat. Drake and Quavo),global|au|be|ca|ch|dk|gr|hu|no|nz|tw|us
2 Chainz,Good Drank,global|ca|no|us
2 Chainz,It's A Vibe,global|au|ca|ch|nz|us
2 Chainz,Momma I Hit A Lick (feat. Kendrick Lamar),global|ca|gr|us
2 Chainz,Rule The World (feat. Ariana Grande),global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|ie|is|lv|my|nl|nz|pl|pt|se|sg|tw|us
2 Chainz,Whip (feat. Travis Scott),global|ca|ch|gr|hu|is|us
21 Savage,1.5,global|be|ca|ch|fr|gb|gr|hu|ie|is|lv|nl|pt|us
21 Savage,4L,global|ca|ch|gr|us
21 Savage,Bad Business,global|ca|us
21 Savage,Bank Account,global|at|au|be|br|ca|ch|cr|cz|de|dk|do|es|fi|fr|gb|gr|hk|hu|id|ie|is|it|jp|lt|lv|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|tr|tw|us
21 Savage,Close My Eyes,global|ca|us
21 Savage,Darth Vader,global|ca|ch|is|us
21 Savage,Disrespectful,global|ca|ch|gr|is|nl|us
21 Savage,Famous,global|ca|us
21 Savage,Ghostface Killers,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hk|hu|ie|is|it|jp|lv|my|nl|no|nz|pl|pt|se|sg|tr|tw|us
21 Savage,Immortal,global|au|ca|ch|gr|hu|is|no|us
21 Savage,Mad Stalkers,global|ca|ch|is|nl|us
21 Savage,My Choppa Hate Niggas,global|ca|ch|dk|gb|is|nl|us
21 Savage,No Heart,global|ca|is|nz|us
21 Savage,Numb,global|ca|us
21 Savage,Rap Saved Me,global|at|au|be|ca|ch|dk|fi|gb|gr|hu|is|nl|no|nz|us
21 Savage,Run Up the Racks,global|ca|ch|is|us
21 Savage,Still Serving,global|ca|ch|us
21 Savage,X (feat. Future),global|ca|ch|is|us
21 Savage,a lot,global|at|au|be|ca|ch|cr|cz|de|dk|do|fi|fr|gb|gr|hk|hn|hu|id|ie|is|it|lv|my|nl|no|nz|pa|ph|pl|pt|se|sg|tr|tw|us
21 Savage,aandt,global|be|ca|ch|fr|gb|gr|ie|is|lv|pt|us
21 Savage,all my friends,global|at|au|be|ca|ch|dk|fr|gb|gr|hu|ie|is|lv|nl|no|nz|pt|us
21 Savage,asmr,global|be|ca|ch|gb|gr|ie|is|pt|us
21 Savage,ball w/o you,global|be|ca|ch|gr|ie|us
21 Savage,break da law,global|be|ca|ch|fr|gb|gr|hu|ie|is|lv|nl|pt|us
21 Savage,can't leave without it,global|be|ca|ch|fr|gb|gr|ie|is|lv|pt|us
21 Savage,good day,global|ca|ch|gr|us
21 Savage,gun smoke,global|be|ca|ch|fr|gb|gr|ie|is|lv|pt|us
21 Savage,letter 2 my momma,global|ca|gr|us
21 Savage,monster,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hk|hu|ie|is|lv|my|nl|no|nz|pt|se|sg|tr|tw|us
21 Savage,out for the night,global|be|ca|ch|fr|gb|gr|ie|is|lv|pt|us
21 Savage,pad lock,global|ca|ch|gr|us
22 Savage,The Race,global|ca|us
24kGoldn,CITY OF ANGELS,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hu|ie|is|lv|nl|no|nz|pl|pt|se|sg|us
24kGoldn,VALENTINO,global|at|au|ca|ch|cz|fi|gr|hu|ie|is|lv|no|nz|se|us
5 Seconds of Summer,Easier,global|ar|at|au|be|br|ca|ch|cz|de|dk|es|fi|gb|gr|hk|hu|id|ie|is|it|jp|lv|my|nl|no|nz|pa|ph|pl|pt|se|sg|tr|tw|us|uy
5 Seconds of Summer,If Walls Could Talk,global|au|gb|gr|hu|ie|nl|nz|pl|pt
5 Seconds of Summer,Lie To Me,global|au|ca|dk|gb|gr|hk|hu|id|ie|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
5 Seconds of Summer,Lie To Me (feat. Julia Michaels),global|at|au|be|ca|ch|cz|dk|gb|gr|hk|hu|id|ie|lv|my|nl|no|nz|ph|pl|pt|sg|tw|us
5 Seconds of Summer,Moving Along,global|au|gb|gr|hu|ie|my|nl|nz|ph|pl|pt|sg|us
5 Seconds of Summer,No Shame,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|id|ie|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
5 Seconds of Summer,Old Me,global|at|au|be|ca|ch|cz|dk|fi|gb|gr|hk|hu|ie|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
5 Seconds of Summer,Red Desert,global|au|gb|hu|ie|nl|pl|us
5 Seconds of Summer,Talk Fast,global|au|gb|gr|hu|ie|nl|nz|pl|pt|us
5 Seconds of Summer,Teeth,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hk|hu|id|ie|is|it|jp|lv|my|nl|no|nz|ph|pl|pt|se|sg|tr|tw|us
5 Seconds of Summer,Valentine,global|ar|au|be|ca|cz|gb|gr|hu|ie|my|nl|nz|pl|pt|sg|us
5 Seconds of Summer,Want You Back,global|ar|at|au|be|ca|ch|cl|co|cr|cz|de|dk|es|fi|gb|gr|hk|hu|id|ie|is|it|jp|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|tw|us|uy
5 Seconds of Summer,Wildflower,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|ie|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
5 Seconds of Summer,Youngblood,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
6LACK,Balenciaga Challenge (feat. Offset),global|be|ca|ch|dk|gr|ie|is|no|pt|us
6LACK,East Atlanta Love Letter (feat. Future),global|ca|pt|us
6LACK,Ex Calling,global|ca|is|us
6LACK,Loaded Gun,global|ca|dk|pt|us
6LACK,Pretty Little Fears (feat. J. Cole),global|au|be|ca|cz|fi|gb|gr|hu|ie|lv|nl|no|nz|pt|se|us
6LACK,Unfair,global|ca|pt|us
6ix9ine,BEBE,global|ar|at|au|be|bo|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|ie|is|it|mx|nl|no|nz|pa|pl|pt|py|se|sv|tw|us|uy
6ix9ine,BILLY,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hu|ie|is|it|lv|nl|no|nz|se|us
6ix9ine,DUMMY,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hu|ie|is|it|nl|no|nz|se|us
6ix9ine,FEEFA,global|at|au|be|ca|ch|cr|cz|de|dk|do|fi|fr|gb|gr|hu|ie|is|it|lv|nl|no|nz|pa|pt|se|us
6ix9ine,FEFE,global|at|au|be|ca|ch|cr|cz|de|do|fi|fr|gb|gr|hu|ie|is|it|no|nz|pa|pl|pt|se|sv|us
6ix9ine,FEFE (feat. Nicki Minaj and Murda Beatz),global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
6ix9ine,GOTTI,global|at|be|ca|ch|cr|cz|de|dk|fi|gb|hu|is|lv|nl|no|nz|pl|pt|se|sv|us
6ix9ine,GUMMO,global|at|be|ca|ch|cz|de|fi|fr|gr|is|nl|nz|us
6ix9ine,KANGA,global|at|au|be|ca|ch|cr|cz|de|dk|do|fi|fr|gb|gr|hu|ie|is|it|lv|nl|no|nz|pl|pt|se|us
6ix9ine,KEKE,global|be|ca|ch|cz|de|dk|fi|gb|gr|is|nl|no|nz|se|us
6ix9ine,KIKA,global|at|au|be|ca|ch|cl|cr|cz|de|dk|do|es|fi|fr|gb|gr|hk|hn|hu|ie|is|it|lv|nl|no|nz|pa|pl|pt|se|sv|us
6ix9ine,KOODA,global|ca|ch|cz|us
6ix9ine,MALA,global|ar|at|au|be|bo|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hn|hu|ie|is|it|mx|nl|no|pa|pt|py|se|sv|us|uy
6ix9ine,MAMA,global|at|au|be|ca|ch|cr|cz|de|dk|do|es|fi|fr|gb|gr|hk|hn|hu|ie|is|it|lv|mx|nl|no|nz|pa|pl|pt|se|sv|us
6ix9ine,RONDO,global|at|be|ca|ch|cz|de|dk|gb|gr|hu|is|nl|us
6ix9ine,STOOPID,global|at|au|be|ca|ch|cr|cz|de|dk|do|fi|fr|gb|gr|hu|ie|is|it|lv|nl|no|nz|pa|pl|pt|se|sv|us
6ix9ine,TATI,global|at|au|be|ca|ch|cz|de|dk|do|fi|fr|gb|gr|hu|ie|is|it|lv|nl|no|nz|pt|se|us
6ix9ine,TIC TOC,global|at|au|be|ca|ch|co|cr|cz|de|dk|do|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|lv|my|nl|no|nz|pa|ph|pl|pt|se|sg|sv|tr|tw|us
6ix9ine,WAKA,global|at|au|be|ca|ch|cr|cz|de|dk|do|fi|fr|gb|gr|hu|ie|is|it|lv|nl|no|nz|pa|pl|pt|se|us
6ix9ine,WONDO,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hu|ie|is|it|nl|no|se|us
88-Keys,That's Life (feat. Mac Miller and Sia),global|at|au|ca|ch|cz|de|dk|gb|hu|ie|lv|nl|no|nz|pl|tw|us
A Boogie Wit da Hoodie,Demons and Angels (feat. Juice WRLD),global|ca|gb|no|us
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),global|ca|nz|us
A Boogie Wit da Hoodie,King Of My City,global|ca|fi|gb|gr|no|us
A Boogie Wit da Hoodie,Look Back at It,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hk|hu|id|ie|is|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
A Boogie Wit da Hoodie,Me and My Guitar,global|ca|gb|us
A Boogie Wit da Hoodie,Might Not Give Up (feat. Young Thug),global|ca|gb|no|us
A Boogie Wit da Hoodie,Mood Swings,global|ca|gr|no|us
A Boogie Wit da Hoodie,Numbers (feat. Roddy Ricch Gunna and London On Da Track),global|au|be|ca|ch|dk|fi|gb|gr|hu|ie|is|nl|no|us
A Boogie Wit da Hoodie,Reply (feat. Lil Uzi Vert),global|ca|gb|gr|is|no|us
A Boogie Wit da Hoodie,Say A',global|ca|us
A Boogie Wit da Hoodie,Stain (feat. DaBaby),global|ca|gb|us
A Boogie Wit da Hoodie,Startender (feat. Offset and Tyga),global|at|au|be|ca|ch|de|dk|fi|gb|gr|hu|ie|is|nl|no|nz|us
A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|ie|is|lv|my|nl|no|nz|pl|pt|se|sg|tw|us
A Boogie Wit da Hoodie,Thug Love,global|ca|gb|us
A R I Z O N A,Oceans Away,global|at|au|be|ca|ch|cz|de|dk|es|fr|gb|gr|hk|hu|id|ie|it|jp|lt|lv|mx|my|nl|no|nz|ph|pl|pt|se|sg|tr|tw|us
A$AP Ferg,Jet Lag,global|ca|ch|gr|lv|us
A$AP Ferg,Plain Jane,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|id|ie|is|jp|lv|my|nl|no|nz|pa|ph|pl|pt|se|sg|tr|tw|us
A$AP Ferg,Plain Jane REMIX (feat. Nicki Minaj),global
A$AP Mob,Please Shut Up (feat. A$AP Rocky KEY! and Gucci Mane),global
A$AP Rocky,A$AP Forever (feat. Moby),global
A$AP Rocky,A$AP Forever REMIX (feat. Moby T.I. and Kid Cudi),global
A$AP Rocky,Babushka Boi,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hu|ie|is|lv|my|nl|no|nz|pl|pt|se|sg|tw|us
A$AP Rocky,Bad Company (feat. BlocBoy JB),global|at|au|be|ca|ch|cz|dk|gr|hu|is|lv|no|nz|se|us
A$AP Rocky,Black Tux White Collar,global|au|ca|ch|gr|is|lv|nz|us
A$AP Rocky,Brotha Man (feat. French Montana),global
A$AP Rocky,Buck Shots,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hu|ie|is|lv|nl|no|nz|pl|pt|us
A$AP Rocky,CALLDROPS (feat. Kodak Black),global
A$AP Rocky,Changes,global|au|be|ca|ch|cz|gr|is|lv|nz|us
A$AP Rocky,Cocky (feat. London On Da Track),global|ca|ch|dk|hu|is|no|us
A$AP Rocky,Distorted Records,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hu|ie|is|lv|nl|no|nz|pl|pt|us
A$AP Rocky,Fukk Sleep (feat. FKA twigs),global
A$AP Rocky,Gunz N Butter (feat. Juicy J),global
A$AP Rocky,Hun43rd,global|au|be|ca|ch|cz|dk|gb|gr|is|lv|nz|pl|us
A$AP Rocky,Kids Turned Out Fine,global|au|be|ca|ch|cz|dk|gb|gr|is|lv|nz|pl|us
A$AP Rocky,OG Beeper,global|at|au|be|ca|ch|cz|de|dk|gb|gr|hu|is|lv|no|nz|pl|pt|us
A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hk|hu|ie|is|it|jp|lv|my|nl|no|nz|pl|pt|se|sg|tr|tw|us
A$AP Rocky,Purity (feat. Frank Ocean),global
A$AP Rocky,Sundress,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hu|ie|is|lv|no|nz|pl|pt|se|us
A$AP Rocky,Tony Tone,global|at|au|be|ca|ch|cz|de|dk|fi|fr|gb|gr|hu|ie|is|lv|nl|no|nz|pl|pt|us
AC/DC,Highway to Hell,global|at|au|be|br|ca|ch|cr|cz|de|dk|es|fr|gb|hu|ie|it|mx|no|nz|pl|pt|se|us
AC/DC,You Shook Me All Night Long,global|at|au|be|ca|ch|cz|hu|ie|pl|pt|se|us
AJR,Sober Up,global|at|be|ca|ch|cz|de|gr|hk|hu|pt|us
AJR,Weak,global|ar|at|au|be|br|ca|ch|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|tr|tw|us|uy
AK AUSSERKONTROLLE,Hood,global
ALMA,Phases,global|at|be|ca|ch|cz|de|dk|fi|gb|hu|ie|lt|my|nl|no|pl|se|sg|tw
Aaron Carter,Sooner Or Later,global|at|au|be|ca|ch|cz|dk|es|fi|fr|gr|hk|hu|id|ie|it|jp|lt|lv|my|nl|no|nz|ph|pl|pt|se|sg|tr|tw|us
Aaron Smith,Dancin (feat. Luvli) - Krono Remix,global|ar|bo|br|cl|co|cr|cz|do|ec|gt|hn|hu|lv|mx|pa|py|sv|tr
Ab-Soul,Bloody Waters (with Anderson .Paak and James Blake),global|au|be|ca|ch|dk|fr|gb|gr|hu|ie|is|lv|nl|no|nz|pl|pt|se|us
Abraham Mateo,Loco Enamorado,global|ar|bo|cl|co|cr|do|ec|es|gt|hn|mx|pa|py|sv|uy
Adele,Hello,global|ar|at|au|be|br|ca|ch|cl|co|cr|cz|dk|do|ec|es|gb|gt|hk|hn|id|ie|it|jp|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|tr|tw|us|uy
Adele,Make You Feel My Love,global|at|au|be|ca|ch|cz|dk|fi|fr|gb|gr|hk|hu|id|ie|it|jp|lv|mx|my|nl|no|nz|ph|pl|pt|se|sg|tr|tw|us
Adele,Send My Love (To Your New Lover),global|ar|au|be|br|ca|ch|cl|co|cr|cz|do|ec|gb|gt|hk|hu|id|ie|it|jp|mx|my|nl|no|nz|ph|pl|pt|py|se|sg|tr|tw|us|uy
Adele,Someone Like You,global|ar|au|be|ch|cl|co|cr|cz|dk|ec|es|gb|hk|hu|ie|jp|mx|my|nl|no|nz|ph|pl|pt|se|sg|tr|tw|uy
Adele,Water Under the Bridge,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|tr|tw|us|uy
Adele,When We Were Young,global|au|be|ch|cr|cz|dk|gb|id|ie|jp|my|nl|no|nz|ph|pl|pt|se|sg
Aitana,TELÉFONO,global|ar|bo|co|do|ec|es|gt|pa|py|uy
Aitana,Vas A Quedarte,global|ar|bo|co|ec|es|pa|uy
Alan Walker,All Falls Down,global|at|be|ca|ch|cz|de|dk|es|fi|fr|gb|hk|hu|id|ie|it|my|nl|no|ph|pl|se|sg|tw
Alan Walker,All Falls Down (feat. Juliander),global|at|au|be|ca|ch|cz|de|dk|es|fi|fr|gb|gr|gt|hk|hu|id|ie|it|jp|lv|my|nl|no|ph|pl|pt|se|sg|sv|tr|tw|us
Alan Walker,Alone,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gt|hk|hn|hu|id|ie|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|uy
Alan Walker,Alone Pt. II,global|at|be|ca|ch|cz|de|dk|fi|fr|gr|hk|hu|id|it|my|nl|no|ph|pl|se|sg|tw
Alan Walker,Darkside,global|at|au|be|ca|ch|cz|de|dk|es|fi|gr|hk|hu|id|ie|jp|lv|my|nl|no|ph|pl|pt|se|sg|tr|tw|us
Alan Walker,Diamond Heart,global|at|be|ch|cz|dk|es|fi|gr|hk|hu|id|lv|my|nl|no|ph|pl|pt|se|sg|tw
Alan Walker,Faded,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|it|jp|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|uy
Alan Walker,Lost Control,global|at|be|ch|cz|de|dk|fi|gr|hk|hu|id|jp|lv|my|nl|no|pl|pt|se|sg|tw
Alan Walker,On My Way,global|at|au|be|bo|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|gb|gr|gt|hk|hn|hu|id|ie|jp|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Alan Walker,The Spectre,global|at|be|ch|cz|de|dk|fi|gt|hk|hu|id|it|lt|my|no|pl|se|sg|tw
Alan Walker,Tired,global|at|au|be|ca|ch|cz|de|dk|ec|es|fi|gr|gt|hk|hu|id|ie|it|jp|lt|lv|mx|my|no|ph|pl|pt|se|sg|tw
Aldair Playboy,Amor Falso,global|br|pt|py
Alec Benjamin,Let Me Down Slowly,global|ar|at|au|be|ca|ch|cz|de|dk|es|fi|fr|gb|gr|hk|hu|id|ie|is|it|jp|lv|my|nl|no|nz|pa|ph|pl|pt|se|sg|tr|tw|us
Alec Benjamin,Oh My God,global|at|ch|dk|fi|hk|hu|my|nl|no|se|sg|tw|us
Alejandro Fernández,Sé Que Te Duele,global
Alessia Cara,Growing Pains,global|at|au|be|ca|ch|cz|de|dk|gr|hk|hu|id|jp|my|no|nz|ph|pl|pt|se|sg|tw|us
Alessia Cara,How Far I'll Go - From "Moana",global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Alessia Cara,Make It To Christmas,global|at|au|be|ca|ch|de|gb|hk|hu|ie|jp|lv|nl|nz|pl|se|sg|tw|us
Alessia Cara,Out Of Love,global|au|be|ca|cz|dk|gr|hk|hu|ie|lv|my|no|ph|pt|se|sg|tw|us
Alessia Cara,Rooting For You,global|ca|no|se|tw|us
Alessia Cara,Scars To Your Beautiful,global|at|au|be|br|ca|ch|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|se|sg|tr|tw|us|uy
Alessia Cara,Trust My Lonely,global|ca|cz|de|gb|gr|hk|hu|my|no|pl|se|sg|tw|us
Alesso,Falling,global|at|au|be|br|ch|cz|dk|ec|fi|gb|hk|hu|id|ie|it|jp|my|no|nz|pl|pt|se|sg|tw
Alesso,Is That for Me,global
Alesso,Midnight (feat. Liam Payne),global|de|fi|no|se|us
Alesso,REMEDY,global|at|au|be|br|ca|ch|co|cz|de|dk|do|es|fi|fr|gb|gr|gt|hk|hu|id|ie|is|it|jp|lv|my|nl|no|nz|pa|ph|pl|pt|se|sg|tw|us
Alesso,Sad Song (feat. TINI),global|ar|au|be|ca|cz|dk|gr|hk|hu|is|lv|my|no|ph|pt|se|sg|tw|us|uy
Alex Rose,Jangueo,global|ar|bo|cl|co|cr|do|ec|es|gt|hn|mx|pa|py|sv|uy
Alex Rose,Toda - Remix,global|ar|bo|cl|co|cr|do|ec|es|gt|hn|mx|pa|py|sv|uy
Alex Sensation,Que Va,global|ar|bo|ch|cl|co|cr|do|ec|es|gt|hn|it|mx|pa|pt|py|sv|uy
Ali Gatie,It's You,global|at|au|be|bo|br|ca|ch|cr|cz|de|dk|ec|es|fi|gb|gr|hk|hn|hu|id|ie|is|it|jp|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
Ali Gatie,What If I Told You That I Love You,global|at|au|be|ca|ch|cz|de|dk|fi|gb|gr|hk|hu|ie|is|it|lv|my|nl|no|nz|ph|pl|pt|se|sg|tw|us
Alicia Keys,If I Ain't Got You,global|be|ca|fr|gb|gr|my|nl|ph|pl|sg|us
Alok,Hear Me Now,global|ar|at|au|be|bo|br|ca|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gb|gr|gt|hk|hn|hu|id|ie|is|it|jp|lt|lv|mx|my|nl|no|nz|pa|ph|pl|pt|py|se|sg|sv|tr|tw|us|uy
Alok,Never Let Me Go,global|br|ca|dk|fi|pt|se|tw
Alvaro Soler,La Cintura,global|ar|at|be|bo|ch|cl|co|cr|cz|de|dk|do|ec|es|fi|fr|gr|gt|hk|hn|hu|it|mx|nl|no|pa|pl|pt|py|se|sv|tw|uy
Alvaro Soler,La Cintura (feat. Flo Rida and TINI) - Remix,global|ar|at|bo|ch|cl|co|cr|de|dk|do|ec|es|fi|gt|hn|hu|mx|pa|pl|pt|py|se|sv|uy
Amenazzy,Baby,global|ar|bo|cl|co|cr|do|ec|es|gt|hn|mx|pa|py|sv|uy
Aminé,Caroline,global|at|au|be|ca|ch|cz|de|dk|es|fi|gb|hk|hu|id|ie|is|it|jp|my|nl|no|nz|ph|pl|pt|se|sg|tr|tw|us
Aminé,REEL IT IN,global|au|be|ca|gr|hu|ie|lv|nz|pt|us
Anderson .Paak,6 Summers,global|be|ca|pt|us
Anderson .Paak,Tints (feat. Kendrick Lamar),global|au|be|ca|cz|dk|gb|gr|hk|hu|ie|is|jp|lv|nl|no|nz|pl|pt|se|tw|us
